operation,timestamp,datetime,cpu_percent,memory_mb,execution_time_ms
prepare_profile,1749701767.662431,2025-06-12 13:16:07.662,13.94,7.57,0.07548698340542614
key_establishment,1749701767.6640255,2025-06-12 13:16:07.664,19.2,3.2,0.9693150059320033
key_establishment,1749701767.6655383,2025-06-12 13:16:07.665,17.59,3.96,0.3330610052216798
register_euicc,1749701767.6673982,2025-06-12 13:16:07.667,12.1,3.83,0.1848390093073249
create_isdp,1749701767.6688,2025-06-12 13:16:07.668,6.97,3.53,0.14661799650639296
install_profile,1749701767.6708596,2025-06-12 13:16:07.670,26.53,9.12,0.7144929841160774
enable_profile,1749701767.671736,2025-06-12 13:16:07.671,8.87,3.13,0.07162100519053638
install_profile,1749701767.6723669,2025-06-12 13:16:07.672,29.23,10.54,0.08628901559859514
key_establishment,1749701767.67303,2025-06-12 13:16:07.673,17.25,5.26,0.17851698794402182
status_verification,1749701767.6735482,2025-06-12 13:16:07.673,2.7,0.7,0.04732198431156576
status_verification,1749701767.673984,2025-06-12 13:16:07.673,2.57,1.03,0.03853999078273773
status_verification,1749701767.674398,2025-06-12 13:16:07.674,2.91,0.56,0.04177898517809808
prepare_profile,1749701768.6761281,2025-06-12 13:16:08.676,13.57,6.18,0.1050360151566565
key_establishment,1749701768.6772125,2025-06-12 13:16:08.677,20.03,6.75,0.20326799130998552
key_establishment,1749701768.6778667,2025-06-12 13:16:08.677,22.55,6.81,0.0853329838719219
register_euicc,1749701768.6784067,2025-06-12 13:16:08.678,10.79,3.98,0.06734998896718025
create_isdp,1749701768.67894,2025-06-12 13:16:08.678,7.23,3.84,0.05784499808214605
install_profile,1749701768.6795557,2025-06-12 13:16:08.679,20.25,6.53,0.1439100014977157
enable_profile,1749701768.6800635,2025-06-12 13:16:08.680,8.32,3.41,0.05173400859348476
install_profile,1749701768.6805494,2025-06-12 13:16:08.680,22.81,10.93,0.06620699423365295
key_establishment,1749701768.681944,2025-06-12 13:16:08.681,17.18,5.12,0.9590779955033213
status_verification,1749701768.6825225,2025-06-12 13:16:08.682,2.82,0.86,0.04401800106279552
status_verification,1749701768.6829789,2025-06-12 13:16:08.682,3.05,0.61,0.031047995435073972
status_verification,1749701768.6834059,2025-06-12 13:16:08.683,3.14,1.18,0.03818600089289248
prepare_profile,1749701769.6858923,2025-06-12 13:16:09.685,13.72,6.83,0.11993100633844733
key_establishment,1749701769.686949,2025-06-12 13:16:09.686,16.78,3.86,0.17278199084103107
key_establishment,1749701769.687837,2025-06-12 13:16:09.687,16.1,5.02,0.10349301737733185
register_euicc,1749701769.6885881,2025-06-12 13:16:09.688,14.31,2.51,0.08517899550497532
create_isdp,1749701769.689383,2025-06-12 13:16:09.689,7.52,4.03,0.07223800639621913
install_profile,1749701769.6905434,2025-06-12 13:16:09.690,23.33,10.34,0.23945298744365573
enable_profile,1749701769.6914685,2025-06-12 13:16:09.691,9.23,1.9,0.08135102689266205
install_profile,1749701769.6923695,2025-06-12 13:16:09.692,28.96,9.76,0.10377800208516419
key_establishment,1749701769.6932843,2025-06-12 13:16:09.693,22.02,3.88,0.17845298862084746
status_verification,1749701769.6939695,2025-06-12 13:16:09.693,2.74,1.4,0.06001899600960314
status_verification,1749701769.6944914,2025-06-12 13:16:09.694,3.42,0.83,0.04061701474711299
status_verification,1749701769.6950293,2025-06-12 13:16:09.695,3.52,0.75,0.0369449844583869
prepare_profile,1749701770.6986604,2025-06-12 13:16:10.698,17.93,6.22,0.24432799546048045
key_establishment,1749701770.7006905,2025-06-12 13:16:10.700,21.96,6.99,0.33128500217571855
key_establishment,1749701770.7022386,2025-06-12 13:16:10.702,18.46,3.86,0.2198590082116425
register_euicc,1749701770.7039204,2025-06-12 13:16:10.703,12.17,4.0,0.19758299458771944
create_isdp,1749701770.7054207,2025-06-12 13:16:10.705,6.57,3.58,0.13554099132306874
install_profile,1749701770.7069836,2025-06-12 13:16:10.706,22.03,9.81,0.32924601691775024
enable_profile,1749701770.7097838,2025-06-12 13:16:10.709,10.49,2.6,0.24517002748325467
install_profile,1749701770.7123568,2025-06-12 13:16:10.712,26.45,9.05,0.2101279969792813
key_establishment,1749701770.714079,2025-06-12 13:16:10.714,18.26,3.75,0.3362039860803634
status_verification,1749701770.7152169,2025-06-12 13:16:10.715,3.43,0.85,0.07788898074068129
status_verification,1749701770.7161043,2025-06-12 13:16:10.716,2.62,0.63,0.08426699787378311
status_verification,1749701770.7177668,2025-06-12 13:16:10.717,3.77,0.62,0.1772410178091377
prepare_profile,1749701771.7228925,2025-06-12 13:16:11.722,17.97,8.2,0.2318119804840535
key_establishment,1749701771.7247725,2025-06-12 13:16:11.724,16.14,6.41,0.3134460130240768
key_establishment,1749701771.7264323,2025-06-12 13:16:11.726,21.06,5.95,0.18697298946790397
register_euicc,1749701771.7279296,2025-06-12 13:16:11.727,12.06,3.35,0.16762700397521257
create_isdp,1749701771.7309096,2025-06-12 13:16:11.730,7.03,3.28,0.3262939862906933
install_profile,1749701771.7347624,2025-06-12 13:16:11.734,24.74,11.83,0.4064250097144395
enable_profile,1749701771.737686,2025-06-12 13:16:11.737,8.18,2.68,0.2752259897533804
install_profile,1749701771.7404544,2025-06-12 13:16:11.740,28.23,7.52,0.3543579950928688
key_establishment,1749701771.7434788,2025-06-12 13:16:11.743,21.74,6.54,0.6273949984461069
status_verification,1749701771.7451794,2025-06-12 13:16:11.745,3.04,1.14,0.13690299238078296
status_verification,1749701771.7471085,2025-06-12 13:16:11.747,3.73,1.0,0.1939430076163262
status_verification,1749701771.7491257,2025-06-12 13:16:11.749,3.24,0.99,0.19496199092827737
prepare_profile,1749701772.755312,2025-06-12 13:16:12.755,12.51,4.29,0.27101600426249206
key_establishment,1749701772.757168,2025-06-12 13:16:12.757,18.35,6.59,0.33464899752289057
key_establishment,1749701772.758761,2025-06-12 13:16:12.758,16.18,5.11,0.20482600666582584
register_euicc,1749701772.760277,2025-06-12 13:16:12.760,14.6,5.53,0.15865397290326655
create_isdp,1749701772.7618036,2025-06-12 13:16:12.761,9.06,2.9,0.1936929766088724
install_profile,1749701772.7636456,2025-06-12 13:16:12.763,21.74,9.93,0.32323499908670783
enable_profile,1749701772.7650452,2025-06-12 13:16:12.765,9.6,1.97,0.11275699944235384
install_profile,1749701772.7667742,2025-06-12 13:16:12.766,22.02,10.42,0.2282810164615512
key_establishment,1749701772.7687888,2025-06-12 13:16:12.768,16.96,3.91,0.3500949824228883
status_verification,1749701772.7699091,2025-06-12 13:16:12.769,2.67,1.45,0.10452501010149717
status_verification,1749701772.7709498,2025-06-12 13:16:12.770,3.78,1.27,0.0797829998191446
status_verification,1749701772.7720761,2025-06-12 13:16:12.772,3.66,1.13,0.08369699935428798
prepare_profile,1749701773.7761085,2025-06-12 13:16:13.776,15.02,6.15,0.24966700584627688
key_establishment,1749701773.778109,2025-06-12 13:16:13.778,19.0,5.57,0.3305939899291843
key_establishment,1749701773.7798429,2025-06-12 13:16:13.779,18.92,5.37,0.20688999211415648
register_euicc,1749701773.7812924,2025-06-12 13:16:13.781,13.88,3.14,0.15508400974795222
create_isdp,1749701773.7829576,2025-06-12 13:16:13.782,8.82,3.87,0.11916900984942913
install_profile,1749701773.7844396,2025-06-12 13:16:13.784,23.42,9.86,0.29451100272126496
enable_profile,1749701773.7860458,2025-06-12 13:16:13.786,9.29,3.34,0.10631498298607767
install_profile,1749701773.787474,2025-06-12 13:16:13.787,20.72,6.91,0.14575300156138837
key_establishment,1749701773.788859,2025-06-12 13:16:13.788,19.93,3.67,0.3045129997190088
status_verification,1749701773.7898765,2025-06-12 13:16:13.789,2.85,1.42,0.0809190096333623
status_verification,1749701773.790964,2025-06-12 13:16:13.790,2.7,0.98,0.08054598583839834
status_verification,1749701773.7919402,2025-06-12 13:16:13.791,3.05,0.87,0.08134602103382349
prepare_profile,1749701774.7967954,2025-06-12 13:16:14.796,13.69,4.88,0.18172600539401174
key_establishment,1749701774.798285,2025-06-12 13:16:14.798,19.39,6.12,0.2617240243125707
key_establishment,1749701774.7997355,2025-06-12 13:16:14.799,18.4,3.98,0.17299700994044542
register_euicc,1749701774.8012013,2025-06-12 13:16:14.801,14.79,5.04,0.16068198601715267
create_isdp,1749701774.8025708,2025-06-12 13:16:14.802,6.62,3.04,0.11923900456167758
install_profile,1749701774.8042812,2025-06-12 13:16:14.804,26.31,9.22,0.3397120162844658
enable_profile,1749701774.8058057,2025-06-12 13:16:14.805,9.46,2.8,0.1014400040730834
install_profile,1749701774.807251,2025-06-12 13:16:14.807,27.6,9.22,0.1440740015823394
key_establishment,1749701774.8085291,2025-06-12 13:16:14.808,20.7,6.88,0.27276299078948796
status_verification,1749701774.8095248,2025-06-12 13:16:14.809,3.6,0.57,0.08328200783580542
status_verification,1749701774.8102958,2025-06-12 13:16:14.810,3.58,1.44,0.056976015912368894
status_verification,1749701774.8112388,2025-06-12 13:16:14.811,2.82,0.63,0.07727000047452748
prepare_profile,1749701775.1607268,2025-06-12 13:16:15.160,16.36,7.94,0.07708300836384296
key_establishment,1749701775.1612751,2025-06-12 13:16:15.161,22.27,3.32,0.10285497410222888
key_establishment,1749701775.1616066,2025-06-12 13:16:15.161,23.05,4.56,0.05086397868581116
register_euicc,1749701775.1621768,2025-06-12 13:16:15.162,12.38,2.84,0.05876098293811083
