timestamp,vus,cpu_percent,memory_percent,memory_mb
\"" source=console
2025-06-10T07:03:30.864Z,1,4.80,21.60,229.73
2025-06-10T07:03:41.748Z,87,4.60,21.70,230.11
2025-06-10T07:03:53.934Z,336,6.40,21.70,233.86
2025-06-10T07:04:05.229Z,703,6.50,21.80,238.54
2025-06-10T07:04:17.364Z,1239,8.40,22.20,245.29
2025-06-10T07:04:29.538Z,1892,8.60,22.30,254.29
2025-06-10T07:04:41.073Z,2541,7.40,22.40,262.73
2025-06-10T07:04:51.758Z,3151,8.10,22.30,270.61
2025-06-10T07:05:03.810Z,3877,10.10,22.70,279.61
2025-06-10T07:05:17.346Z,4641,7.80,22.50,289.36
2025-06-10T07:05:27.815Z,5234,6.80,22.60,297.04
2025-06-10T07:05:38.588Z,5877,9.10,22.90,305.67
2025-06-10T07:05:50.808Z,6535,8.60,22.70,314.48
2025-06-10T07:06:04.434Z,7292,6.90,22.80,324.61
2025-06-10T07:06:14.588Z,7862,7.60,22.70,331.36
2025-06-10T07:06:25.607Z,8487,7.60,22.80,342.04
2025-06-10T07:06:36.640Z,9079,7.50,22.90,349.54
2025-06-10T07:06:47.735Z,9710,6.80,22.90,357.79
2025-06-10T07:06:59.690Z,10396,8.00,23.00,366.42
2025-06-10T07:07:11.818Z,11084,8.10,23.00,375.61
2025-06-10T07:07:26.429Z,11893,8.10,23.10,385.92
2025-06-10T07:07:42.913Z,12809,9.00,23.50,397.36
2025-06-10T07:07:58.656Z,13695,9.00,23.70,409.36
2025-06-10T07:08:15.627Z,14688,9.50,23.90,422.11
2025-06-10T07:08:33.716Z,15692,7.50,23.50,435.04
2025-06-10T07:08:43.582Z,16255,7.00,23.60,441.79
2025-06-10T07:08:53.864Z,16849,9.50,23.80,449.67
2025-06-10T07:09:05.507Z,17492,8.50,23.80,457.54
2025-06-10T07:09:16.443Z,18093,7.50,23.80,465.42
2025-06-10T07:09:28.110Z,18722,8.20,23.80,473.67
2025-06-10T07:09:39.808Z,19374,7.30,23.80,482.11
2025-06-10T07:09:52.496Z,20074,7.30,23.90,491.48
2025-06-10T07:10:06.497Z,20862,8.30,23.90,501.79
2025-06-10T07:10:19.442Z,21581,7.10,23.90,510.79
2025-06-10T07:10:33.534Z,22336,7.50,24.00,521.29
2025-06-10T07:10:48.703Z,23180,7.70,24.10,531.79
2025-06-10T07:11:04.602Z,24042,7.40,24.10,542.67
2025-06-10T07:11:19.388Z,24907,8.00,24.20,553.54
2025-06-10T07:11:35.170Z,25758,7.60,24.20,564.61
2025-06-10T07:13:45.692Z,32986,8.60,25.20,661.88
2025-06-10T07:14:05.496Z,34105,8.40,25.10,676.88
2025-06-10T07:14:23.963Z,35157,7.20,25.10,689.44
2025-06-10T07:14:42.901Z,36213,7.70,25.00,703.50
2025-06-10T07:16:00.566Z,40186,8.10,25.60,757.50
2025-06-10T07:16:10.201Z,40630,7.80,25.60,764.25
2025-06-10T07:16:20.943Z,41138,7.30,25.60,771.19
\" | sed \"s/^CSV_METRICS,//\" > metrics_1000vu.csv" source=console
