timestamp,vus,iterations,cpu_percent,mem_percent,memory_mb
2025-07-12T11:36:42.794Z,11,61,3.70,17.40,1397.73
2025-07-12T11:36:44.920Z,12,83,4.60,17.40,1397.73
2025-07-12T11:36:47.506Z,14,114,4.60,17.40,1398.48
2025-07-12T11:36:49.676Z,16,143,3.40,17.40,1399.05
2025-07-12T11:36:51.847Z,18,178,3.70,17.40,1399.23
2025-07-12T11:36:54.852Z,20,236,4.20,17.40,1399.61
2025-07-12T11:36:57.674Z,23,295,3.30,17.30,1400.17
2025-07-12T11:36:59.999Z,25,346,3.00,17.30,1400.73
2025-07-12T11:37:02.121Z,26,399,8.00,17.40,1401.30
2025-07-12T11:37:04.652Z,28,463,4.20,17.40,1402.05
2025-07-12T11:37:06.929Z,30,534,5.90,17.50,1403.17
2025-07-12T11:37:09.856Z,33,614,2.90,17.40,1404.11
2025-07-12T11:37:12.476Z,35,708,5.90,17.40,1405.23
2025-07-12T11:37:14.572Z,37,783,7.10,17.40,1408.42
2025-07-12T11:37:17.070Z,39,876,5.90,17.40,1409.36
2025-07-12T11:37:19.473Z,41,972,3.80,17.40,1410.30
2025-07-12T11:37:22.557Z,43,1099,6.80,17.50,1411.05
2025-07-12T11:37:25.255Z,45,1211,6.80,17.50,1411.98
2025-07-12T11:37:27.569Z,47,1318,4.60,17.50,1413.48
2025-07-12T11:37:29.896Z,49,1428,4.20,17.50,1414.98
2025-07-12T11:37:32.914Z,54,1576,2.90,17.40,1416.86
2025-07-12T11:37:35.149Z,57,1696,2.50,17.50,1418.55
2025-07-12T11:37:38.142Z,62,1874,2.90,17.50,1420.98
2025-07-12T11:37:41.424Z,68,2084,5.00,17.50,1423.80
2025-07-12T11:37:43.638Z,71,2221,4.20,17.50,1424.55
2025-07-12T11:37:46.389Z,76,2424,3.30,17.50,1426.98
2025-07-12T11:37:49.067Z,81,2627,4.20,17.50,1429.80
2025-07-12T11:37:52.092Z,86,2864,7.50,17.60,1432.61
2025-07-12T11:37:54.149Z,89,3039,12.90,17.60,1434.67
2025-07-12T11:37:56.631Z,93,3264,7.10,17.60,1438.42
2025-07-12T11:37:59.373Z,98,3529,3.80,17.60,1441.23
2025-07-12T11:38:01.435Z,101,3728,9.70,17.60,1444.23
2025-07-12T11:38:03.863Z,105,3968,12.10,17.60,1447.23
2025-07-12T11:38:06.157Z,109,4206,4.20,17.80,1450.05
2025-07-12T11:38:08.478Z,113,4453,5.40,17.80,1453.42
2025-07-12T11:38:10.561Z,116,4674,11.90,17.80,1456.61
2025-07-12T11:38:13.709Z,122,5054,4.20,17.70,1461.67
2025-07-12T11:38:16.735Z,127,5414,9.70,18.00,1466.92
2025-07-12T11:38:19.234Z,131,5741,4.20,18.00,1471.61
2025-07-12T11:38:21.707Z,135,6059,2.90,18.10,1475.55
2025-07-12T11:38:23.976Z,139,6370,5.00,18.00,1479.67
2025-07-12T11:38:26.802Z,143,6758,10.90,18.00,1484.73
2025-07-12T11:38:28.822Z,147,7037,3.80,18.00,1488.48
2025-07-12T11:38:31.371Z,151,7409,3.30,18.00,1493.55
2025-07-12T11:38:34.443Z,156,7880,5.00,18.10,1499.55
2025-07-12T11:38:36.730Z,160,8237,7.90,18.10,1504.42
2025-07-12T11:38:38.869Z,164,8563,3.80,18.20,1508.73
2025-07-12T11:38:40.880Z,167,8895,3.70,18.20,1512.86
2025-07-12T11:38:42.974Z,170,9246,3.80,18.20,1517.36
2025-07-12T11:38:45.572Z,175,9673,3.30,18.20,1522.98
2025-07-12T11:38:48.439Z,179,10170,4.20,18.10,1529.36
2025-07-12T11:38:50.556Z,183,10555,5.00,18.10,1534.23
2025-07-12T11:38:52.655Z,187,10923,5.00,18.20,1539.48
2025-07-12T11:38:54.922Z,190,11344,3.80,18.20,1545.30
2025-07-12T11:38:57.954Z,195,11919,3.30,18.10,1552.61
